"CZ_TYPE","US_FIPS","lat","long"
"C",16005,42.692921,-112.228982
"C",16007,42.285892,-111.327517
"C",16009,47.218451,-116.633541
"C",16011,43.216357,-112.399206
"C",16013,43.394192,-113.955371
"C",16015,43.987275,-115.71511
"C",16017,48.316796,-116.612364
"C",16019,43.395171,-111.621878
"C",16021,48.773131,-116.524668
"C",16023,43.685101,-113.177631
"C",16025,43.502552,-114.772135
"C",16027,43.625796,-116.709058
"C",16029,42.786072,-111.544273
"C",16031,42.282313,-113.626328
"C",16033,44.290218,-112.354613
"C",16035,46.67257,-115.6535
"C",16037,44.273351,-114.252267
"C",16039,43.394698,-115.471205
"C",16041,42.173609,-111.822965
"C",16043,44.218091,-111.484429
"C",16045,44.061473,-116.398784
"C",16047,42.973185,-114.82142
"C",16049,45.849644,-115.467337
"C",16051,43.796965,-112.318588
"C",16053,42.691395,-114.262086
"C",16055,47.675966,-116.695922
"C",16057,46.81892,-116.730974
"C",16059,44.928506,-113.887042
"C",16061,46.236328,-116.42376
"C",16063,42.986181,-114.153899
"C",16065,43.788614,-111.656993
"C",16067,42.857211,-113.63984
"C",16069,46.333791,-116.760909
"C",16071,42.183895,-112.520449
"C",16073,42.572851,-116.18969
"C",16075,44.00243,-116.750238
"C",16077,42.694126,-112.844407
"C",16079,47.347694,-115.885092
"C",16081,43.760994,-111.211765
"C",16083,42.352309,-114.665639
"C",16085,44.85596,-115.618061
"C",16087,44.448223,-116.797792
"C",17001,39.986052,-91.194961
"C",17003,37.183658,-89.349516
"C",17005,38.885924,-89.436592
"C",17007,42.318983,-88.824295
"C",17009,39.962069,-90.750309
"C",17011,41.401304,-89.528377
"C",17013,39.164262,-90.666295
"C",17015,42.0709,-89.924189
"C",17017,39.969202,-90.245704
"C",17019,40.138985,-88.196975
"C",17021,39.545524,-89.279593
"C",17023,39.332334,-87.791683
"C",17025,38.746819,-88.482325
"C",17027,38.606295,-89.426228
"C",17029,39.51368,-88.220782
"C",17031,41.894294,-87.645455
"C",17033,39.002787,-87.760619
"C",17035,39.273121,-88.240619
"C",17037,41.894612,-88.768991
"C",17039,40.181499,-88.901853
"C",17041,39.766078,-88.222866
"C",17043,41.852058,-88.086039
"C",17045,39.679037,-87.74711
"C",17047,38.417095,-88.047941
"C",17049,39.047945,-88.592849
"C",17051,39.001125,-89.017923
"C",17053,40.596539,-88.224588
"C",17055,37.991852,-88.926321
"C",17057,40.46524,-90.202269
"C",17059,37.768677,-88.227964
"C",17061,39.355439,-90.387682
"C",17063,41.29241,-88.401054
"C",17065,38.085227,-88.539009
"C",17067,40.401318,-91.168801
"C",17069,37.517852,-88.266148
"C",17071,40.814471,-90.941246
"C",17073,41.350021,-90.130838
"C",17075,40.748867,-87.833601
"C",17077,37.786096,-89.381212
"C",17079,39.004874,-88.150763
"C",17081,38.30078,-88.92421
"C",17083,39.080195,-90.361385
"C",17085,42.362391,-90.21147
"C",17087,37.460709,-88.882131
"C",17089,41.939594,-88.42804
"C",17091,41.13951,-87.861117
"C",17093,41.58814,-88.430626
"C",17095,40.930945,-90.213792
"C",17097,42.326441,-87.435976
"C",17099,41.343341,-88.885931
"C",17101,38.718954,-87.730221
"C",17103,41.747447,-89.299362
"C",17105,40.894376,-88.552852
"C",17107,40.129277,-89.365309
"C",17109,40.455808,-90.678954
"C",17111,42.324298,-88.452245
"C",17113,40.494559,-88.844539
"C",17115,39.860237,-88.961529
"C",17117,39.265914,-89.92633
"C",17119,38.82712,-89.900227
"C",17121,38.648236,-88.920362
"C",17123,41.031119,-89.342371
"C",17125,40.236993,-89.913575
"C",17127,37.216119,-88.705658
"C",17129,40.022569,-89.794133
"C",17131,41.205605,-90.74177
"C",17133,38.277983,-90.179078
"C",17135,39.228068,-89.478141
"C",17137,39.717668,-90.205005
"C",17139,39.636896,-88.625726
"C",17141,42.041884,-89.320176
"C",17143,40.785972,-89.766993
"C",17145,38.084381,-89.368525
"C",17147,40.009033,-88.592355
"C",17149,39.625106,-90.889034
"C",17151,37.417169,-88.542374
"C",17153,37.215615,-89.127755
"C",17155,41.198961,-89.298347
"C",17157,38.056515,-89.82121
"C",17159,38.712187,-88.085452
"C",17161,41.468421,-90.572125
"C",17163,38.470198,-89.928546
"C",17165,37.751508,-88.545024
"C",17167,39.756867,-89.662425
"C",17169,40.156905,-90.613464
"C",17171,39.637002,-90.477771
"C",17173,39.384926,-88.798862
"C",17175,41.096908,-89.797411
"C",17177,42.349726,-89.665994
"C",17179,40.508074,-89.51626
"C",17181,37.485652,-89.244639
